"";"Block";"FlowerFieldType";"Transect";"Species";"LifeStrategy";"Ecotype";"Phagy_Nickel";"FoodPlant_Nickel";"RedList";"tot.Count"
"1";1;"1yr-FAKT";"control grass path";"C.viridis";"oligotop";"MesO";"p";"Juncus, Carex";"*";3
"2";1;"1yr-FAKT";"control grass path";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";8
"3";1;"1yr-FAKT";"control grass path";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";1
"4";1;"1yr-FAKT";"control grass path";"M.crocea";"oligotop";"(MesS)";"o1";"Calamagrostis, Brachypodium, Molinia";"*";2
"5";1;"1yr-FAKT";"control grass path";"P.alienus";"";"UES";"o1";"Poaceae";"*";6
"6";1;"1yr-FAKT";"control grass path";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";5
"7";1;"1yr-FAKT";"control grass path";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";12
"8";1;"1yr-FAKT";"field edge";"D.europaea";"oligotop";"XerO";"p";"?";"3";1
"9";1;"1yr-FAKT";"field edge";"E.atropunctata";"";"MesS";"p";"herbs";"*";2
"10";1;"1yr-FAKT";"field edge";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";2
"11";1;"1yr-FAKT";"field edge";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";3
"12";1;"1yr-FAKT";"field edge";"Empoasca.sp";"";"";"";"";"";3
"13";1;"1yr-FAKT";"field edge";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";2
"14";1;"1yr-FAKT";"field edge";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";6
"15";1;"1yr-FAKT";"field edge";"M.sardus";"";"MesS";"o2?";"?";"*";1
"16";1;"1yr-FAKT";"field edge";"N.campestris";"oligotop";"MesO";"o1";"Poaceae";"*";1
"17";1;"1yr-FAKT";"field edge";"N.fenestratus";"oligotop";"XerO";"m2?";"Leontodon";"V";2
"18";1;"1yr-FAKT";"field edge";"P.alienus";"";"UES";"o1";"Poaceae";"*";2
"19";1;"1yr-FAKT";"field edge";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";1
"20";1;"1yr-FAKT";"field edge";"S.bisonia";"changing";"MesS";"p";"Fabaceae, Rosaceae";"nb";2
"21";1;"1yr-FAKT";"field edge";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";7
"22";1;"1yr-FAKT";"field centre";"C.paolii";"oligotop";"XerO";"o1";"Achillea millefolium, Artemisia campestris";"*";1
"23";1;"1yr-FAKT";"field centre";"E.atropunctata";"";"MesS";"p";"herbs";"*";1
"24";1;"1yr-FAKT";"field centre";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";9
"25";1;"1yr-FAKT";"field centre";"N.fenestratus";"oligotop";"XerO";"m2?";"Leontodon";"V";1
"26";1;"1yr-FAKT";"field centre";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";1
"27";1;"1yr-FAKT";"field centre";"S.bisonia";"changing";"MesS";"p";"Fabaceae, Rosaceae";"nb";1
"28";1;"1yr-GM";"control grass path";"Aphrodes.sp";"";"";"";"";"";1
"29";1;"1yr-GM";"control grass path";"E.atropunctata";"";"MesS";"p";"herbs";"*";1
"30";1;"1yr-GM";"control grass path";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";4
"31";1;"1yr-GM";"control grass path";"M.crocea";"oligotop";"(MesS)";"o1";"Calamagrostis, Brachypodium, Molinia";"*";1
"32";1;"1yr-GM";"control grass path";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";4
"33";1;"1yr-GM";"control grass path";"M.sordidula";"stenotop";"MesO";"m1";"Arrhenatherum elatius";"V";1
"34";1;"1yr-GM";"control grass path";"N.campestris";"oligotop";"MesO";"o1";"Poaceae";"*";2
"35";1;"1yr-GM";"control grass path";"P.alienus";"";"UES";"o1";"Poaceae";"*";3
"36";1;"1yr-GM";"control grass path";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";4
"37";1;"1yr-GM";"control grass path";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";1
"38";1;"1yr-GM";"control grass path";"T.socialis";"oligotop";"MesO";"o1";"Poaceae";"*";2
"39";1;"1yr-GM";"control grass path";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";9
"40";1;"1yr-GM";"field edge";"C.paolii";"oligotop";"XerO";"o1";"Achillea millefolium, Artemisia campestris";"*";2
"41";1;"1yr-GM";"field edge";"E.atropunctata";"";"MesS";"p";"herbs";"*";4
"42";1;"1yr-GM";"field edge";"J.pellucida";"pioneer";"UES";"p";"Poaceae, Cyperaceae?";"*";1
"43";1;"1yr-GM";"field edge";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";7
"44";1;"1yr-GM";"field edge";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";3
"45";1;"1yr-GM";"field edge";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";3
"46";1;"1yr-GM";"field edge";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";3
"47";1;"1yr-GM";"field centre";"E.atropunctata";"";"MesS";"p";"herbs";"*";10
"48";1;"1yr-GM";"field centre";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";1
"49";1;"1yr-GM";"field centre";"E.pteridis";"";"UES";"p";"herbs";"*";12
"50";1;"1yr-GM";"field centre";"Empoasca.sp";"";"";"";"";"";3
"51";1;"1yr-GM";"field centre";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";5
"52";1;"1yr-GM";"field centre";"M.sardus";"";"MesS";"o2?";"?";"*";1
"53";1;"1yr-GM";"field centre";"P.alienus";"";"UES";"o1";"Poaceae";"*";1
"54";1;"1yr-GM";"field centre";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";2
"55";1;"2yr-GM";"control grass path";"A.argentarius";"oligotop";"(XerO)";"o1";"Poaceae";"*";1
"56";1;"2yr-GM";"control grass path";"A.pascuellus";"eurytop";"MesO";"o1";"Poaceae";"*";2
"57";1;"2yr-GM";"control grass path";"A.ribauti";"oligotop";"MesO";"o2?";"Plantago, Fabaceae?, Lamiaceae?";"*";1
"58";1;"2yr-GM";"control grass path";"D.pulicaris";"oligotop";"MesO";"o1";"Poaceae";"*";1
"59";1;"2yr-GM";"control grass path";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";3
"60";1;"2yr-GM";"control grass path";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";2
"61";1;"2yr-GM";"control grass path";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";17
"62";1;"2yr-GM";"control grass path";"J.pellucida";"pioneer";"UES";"p";"Poaceae, Cyperaceae?";"*";2
"63";1;"2yr-GM";"control grass path";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";4
"64";1;"2yr-GM";"control grass path";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";21
"65";1;"2yr-GM";"control grass path";"M.sordidula";"stenotop";"MesO";"m1";"Arrhenatherum elatius";"V";1
"66";1;"2yr-GM";"control grass path";"N.campestris";"oligotop";"MesO";"o1";"Poaceae";"*";1
"67";1;"2yr-GM";"control grass path";"P.alienus";"";"UES";"o1";"Poaceae";"*";5
"68";1;"2yr-GM";"control grass path";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";9
"69";1;"2yr-GM";"control grass path";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";1
"70";1;"2yr-GM";"control grass path";"Psammotettix.sp";"";"";"";"";"";17
"71";1;"2yr-GM";"control grass path";"R.albostriata";"stenotop";"MesO";"m1";"Poa pratensis";"*";1
"72";1;"2yr-GM";"control grass path";"T.socialis";"oligotop";"MesO";"o1";"Poaceae";"*";1
"73";1;"2yr-GM";"control grass path";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";1
"74";1;"2yr-GM";"field edge";"Aphrodes.sp";"";"";"";"";"";2
"75";1;"2yr-GM";"field edge";"Macrosteles.sp";"";"";"";"";"";1
"76";1;"2yr-GM";"field edge";"N.campestris";"oligotop";"MesO";"o1";"Poaceae";"*";1
"77";1;"2yr-GM";"field edge";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";1
"78";1;"2yr-GM";"field edge";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";1
"79";1;"2yr-GM";"field edge";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";1
"80";1;"2yr-GM";"field centre";"A.makarovi";"oligotop";"MesO";"p";"Urtica dioica, Taraxacum";"*";1
"81";1;"2yr-GM";"field centre";"E.atropunctata";"";"MesS";"p";"herbs";"*";1
"82";1;"2yr-GM";"field centre";"E.decipiens";"";"UES";"p";"herbs, wood";"*";1
"83";1;"2yr-GM";"field centre";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";1
"84";1;"2yr-GM";"field centre";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";1
"85";1;"2yr-GM";"field centre";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";2
"86";1;"2yr-GM";"field centre";"E.pteridis";"";"UES";"p";"herbs";"*";12
"87";1;"2yr-GM";"field centre";"Empoasca.sp";"";"";"";"";"";1
"88";1;"2yr-GM";"field centre";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";1
"89";1;"2yr-GM";"field centre";"M.sardus";"";"MesS";"o2?";"?";"*";2
"90";1;"2yr-GM";"field centre";"P.alienus";"";"UES";"o1";"Poaceae";"*";1
"91";1;"2yr-GM";"field centre";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";1
"92";1;"2yr-GM";"field centre";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";1
"93";1;"3yr+";"control grass path";"A.argentarius";"oligotop";"(XerO)";"o1";"Poaceae";"*";4
"94";1;"3yr+";"control grass path";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";14
"95";1;"3yr+";"control grass path";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";2
"96";1;"3yr+";"control grass path";"M.crocea";"oligotop";"(MesS)";"o1";"Calamagrostis, Brachypodium, Molinia";"*";1
"97";1;"3yr+";"control grass path";"M.sordidula";"stenotop";"MesO";"m1";"Arrhenatherum elatius";"V";1
"98";1;"3yr+";"control grass path";"P.alienus";"";"UES";"o1";"Poaceae";"*";2
"99";1;"3yr+";"control grass path";"P.confinis";"eurytop";"MesO";"o1";"Poaceae";"*";3
"100";1;"3yr+";"control grass path";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";10
"101";1;"3yr+";"control grass path";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";3
"102";1;"3yr+";"control grass path";"Psammotettix.sp";"";"";"";"";"";20
"103";1;"3yr+";"control grass path";"R.quinquecostatus";"changing";"XerS";"p";"Salix?";"D";6
"104";1;"3yr+";"control grass path";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";5
"105";1;"3yr+";"field edge";"Aphrodes.sp";"";"";"";"";"";1
"106";1;"3yr+";"field edge";"C.paolii";"oligotop";"XerO";"o1";"Achillea millefolium, Artemisia campestris";"*";1
"107";1;"3yr+";"field edge";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";5
"108";1;"3yr+";"field edge";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";3
"109";1;"3yr+";"field edge";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";1
"110";1;"3yr+";"field edge";"M.sordidula";"stenotop";"MesO";"m1";"Arrhenatherum elatius";"V";1
"111";1;"3yr+";"field edge";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";6
"112";1;"3yr+";"field edge";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";16
"113";1;"3yr+";"field edge";"Psammotettix.sp";"";"";"";"";"";3
"114";1;"3yr+";"field edge";"R.quinquecostatus";"changing";"XerS";"p";"Salix?";"D";29
"115";1;"3yr+";"field edge";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";4
"116";1;"3yr+";"field centre";"A.ribauti";"oligotop";"MesO";"o2?";"Plantago, Fabaceae?, Lamiaceae?";"*";1
"117";1;"3yr+";"field centre";"C.paolii";"oligotop";"XerO";"o1";"Achillea millefolium, Artemisia campestris";"*";1
"118";1;"3yr+";"field centre";"D.europaea";"oligotop";"XerO";"p";"?";"3";1
"119";1;"3yr+";"field centre";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";5
"120";1;"3yr+";"field centre";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";1
"121";1;"3yr+";"field centre";"L.coleoptrata";"oligotop";"MesO";"p";"Poaceae, dikotyle herbs";"V";1
"122";1;"3yr+";"field centre";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";14
"123";1;"3yr+";"field centre";"Psammotettix.sp";"";"";"";"";"";1
"124";1;"3yr+";"field centre";"R.quinquecostatus";"changing";"XerS";"p";"Salix?";"D";11
"125";1;"3yr+";"field centre";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";2
"126";2;"1yr-FAKT";"control grass path";"D.hamata";"eurytop";"MesO";"o1";"Poaceae";"*";1
"127";2;"1yr-FAKT";"control grass path";"D.pulicaris";"oligotop";"MesO";"o1";"Poaceae";"*";5
"128";2;"1yr-FAKT";"control grass path";"E.atropunctata";"";"MesS";"p";"herbs";"*";2
"129";2;"1yr-FAKT";"control grass path";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";3
"130";2;"1yr-FAKT";"control grass path";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";8
"131";2;"1yr-FAKT";"control grass path";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";2
"132";2;"1yr-FAKT";"control grass path";"J.pellucida";"pioneer";"UES";"p";"Poaceae, Cyperaceae?";"*";16
"133";2;"1yr-FAKT";"control grass path";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";8
"134";2;"1yr-FAKT";"control grass path";"Macrosteles.sp";"";"";"";"";"";13
"135";2;"1yr-FAKT";"control grass path";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";7
"136";2;"1yr-FAKT";"control grass path";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";3
"137";2;"1yr-FAKT";"field edge";"E.atropunctata";"";"MesS";"p";"herbs";"*";18
"138";2;"1yr-FAKT";"field edge";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";12
"139";2;"1yr-FAKT";"field edge";"E.pteridis";"";"UES";"p";"herbs";"*";4
"140";2;"1yr-FAKT";"field edge";"Emelyanoviana.sp";"";"";"";"";"";3
"141";2;"1yr-FAKT";"field edge";"P.alienus";"";"UES";"o1";"Poaceae";"*";2
"142";2;"1yr-FAKT";"field edge";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";26
"143";2;"1yr-FAKT";"field centre";"E.atropunctata";"";"MesS";"p";"herbs";"*";54
"144";2;"1yr-FAKT";"field centre";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";24
"145";2;"1yr-FAKT";"field centre";"E.pteridis";"";"UES";"p";"herbs";"*";50
"146";2;"1yr-FAKT";"field centre";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";3
"147";2;"1yr-FAKT";"field centre";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";6
"148";2;"1yr-FAKT";"field centre";"S.bisonia";"changing";"MesS";"p";"Fabaceae, Rosaceae";"nb";1
"149";2;"1yr-GM";"control grass path";"C.viridis";"oligotop";"MesO";"p";"Juncus, Carex";"*";1
"150";2;"1yr-GM";"control grass path";"D.hamata";"eurytop";"MesO";"o1";"Poaceae";"*";2
"151";2;"1yr-GM";"control grass path";"D.pulicaris";"oligotop";"MesO";"o1";"Poaceae";"*";1
"152";2;"1yr-GM";"control grass path";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";2
"153";2;"1yr-GM";"control grass path";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";5
"154";2;"1yr-GM";"control grass path";"G.ventralis";"oligotop";"MesO";"o1";"Poaceae";"*";1
"155";2;"1yr-GM";"control grass path";"J.pellucida";"pioneer";"UES";"p";"Poaceae, Cyperaceae?";"*";2
"156";2;"1yr-GM";"control grass path";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";2
